순번,설치기관명칭,전화번호,주소,주소(도로명),장비사용여부,제조사,제조국가명,모델명
269,은하수아파트 관리사무소,042-485-9151,"대전광역시 서구 둔산남로 15 관리사무소 앞 (둔산동, 은하수아파트)","대전광역시 서구 둔산남로 15 관리사무소 앞 (둔산동, 은하수아파트)",사용중,(주)나눔테크,한국,NF1200
270,둔산청솔아파트,042-482-5085,"대전광역시 서구 둔산로 223 관리사무소 1층 입구 (둔산동, 청솔아파트)","대전광역시 서구 둔산로 223 관리사무소 1층 입구 (둔산동, 청솔아파트)",사용중,(주)라디안,한국,저출력심잗충격기 HR-501-B
271,초원아파트,042-485-6675,"대전광역시 서구 만년로 45 관리동 내부 (만년동, 초원아파트)","대전광역시 서구 만년로 45 관리동 내부 (만년동, 초원아파트)",사용중,(주)라디안,한국,HR-501B
272,늘푸른아파트,042-584-7947,"대전광역시 서구 정림로 11 경로당 현관 입구 (정림동, 늘푸른아파트)","대전광역시 서구 정림로 11 관리사무소 (정림동, 늘푸른아파트)",사용중,(주)씨유메디칼시스템,한국,I-PAD CU-SPi
273,초록마을 2단지아파트,042-585-2205,"대전광역시 서구 복수동로 21-20 관리동 1층 (복수동, 초록마을2단지)","대전광역시 서구 복수동로 21-20 관리동 1층 (복수동, 초록마을2단지)",사용중,라디안,한국,HR-501-B
274,도안13블럭 금성백조예미지 아파트,042-826-7030,"대전광역시 서구 도안북로 125 관리사무소 (도안동, 금성백조 예미지 아파트)","대전광역시 서구 도안북로 125 관리사무소 (도안동, 금성백조 예미지 아파트)",사용중,라디안,한국,HR-501-B
275,신선마을아파트,042-545-0053,"대전광역시 서구 관저로 83 관저동 (관저동, 신선마을아파트)","대전광역시 서구 관저로 83 관저동 (관저동, 신선마을아파트)",사용중,라디안,한국,HR-501-8
276,둔산목련아파트,042-484-0247,대전광역시 서구 둔산남로 127,대전광역시 서구 둔산남로 127,사용중,(주)나눔테크,대한민국,HeartPlus NT-180
277,은아1단지아파트,042-541-1381,대전광역시 서구 가수원로 72,대전광역시 서구 가수원로 72,사용중,(주)라디안,대한민국,HR-501-B
278,둥지아파트,042-488-0393,대전광역시 서구 청사로 254,대전광역시 서구 청사로 254,사용중,(주)나눔테크,대한민국,HeartPlus NT-180
279,다온숲3단지아파트,042-545-9676,대전광역시 서구 구봉산북로 165,대전광역시 서구 구봉산북로 165,사용중,(주)나눔테크,대한민국,NT-381
280,상아아파트,042-482-9190,대전광역시 서구 대덕대로 415,대전광역시 서구 대덕대로 415,사용중,라디안,대한민국,HR-501-B
281,도안18단지린풀하우스아파트,042-541-1500,대전광역시 서구 도안동로 77,대전광역시 서구 도안동로 77,사용중,라디안,한국,HR-501
282,도안18단지린풀하우스아파트,042-541-1500,대전광역시 서구 도안동로 77,대전광역시 서구 도안동로 77,사용중,(주)씨유메디칼,대한민국,CU-SP1
283,도안18단지린풀하우스아파트,042-541-1500,대전광역시 서구 도안동로 77,대전광역시 서구 도안동로 77,사용중,(주)씨유메디칼,대한민국,CU-SP1
284,무지개아파트,042-489-8199,대전광역시 서구 청사서로 11,대전광역시 서구 청사서로 11,사용중,(주)라디안,대한민국,HR-501-B
285,천년나무1단지아파트,042-542-0016,대전광역시 서구 구봉산북로 212,대전광역시 서구 구봉산북로 212,사용중,메디아나,한국,Heart On A15-G4
286,천년나무1단지아파트,042-542-0016,대전광역시 서구 구봉산북로 212,대전광역시 서구 구봉산북로 212,사용중,메디아나,한국,HeartOnA15-G4
287,천년나무1단지아파트,042-542-0016,대전광역시 서구 구봉산북로 212,대전광역시 서구 구봉산북로 212,사용중,(주)나눔테크,대한민국,저출력심장충격기
288,진달래아파트,042-485-7814,대전광역시 서구 월평동로 45,대전광역시 서구 월평동로 45,사용중,(주)라디안,대한민국,저출력심장충격기
289,한마루삼성아파트,042-482-6640,대전광역시 서구 둔산북로 160,대전광역시 서구 둔산북로 160,사용중,(주)라디안,대한민국,Heart Guard HR-501-8
290,강변아파트,042-484-8918,대전광역시 서구 만년로 25,대전광역시 서구 만년로 25,사용중,(주)라디안,대한민국,HR-5016
291,누리아파트,042-485-3697,대전광역시 서구 청사로 70,대전광역시 서구 청사로 70,사용중,(주)나눔테크,대한민국,HeartKeeper(NT-180)
292,한우리아파트,042-484-8576,대전광역시 서구 문정로90번길 60,대전광역시 서구 문정로90번길 60,사용중,(주)라디안,대한민국,HR-501-B
293,느리울마을12단지아파트,042-541-0660,대전광역시 서구 관저로 184,대전광역시 서구 관저로 184,사용중,(주)라디안,대한민국,저출력심장충격기
294,백합아파트,042-489-2642,대전광역시 서구 청사서로 41,대전광역시 서구 청사서로 41,사용중,(주)라디안,대한민국,HR-501-B
295,관저어반힐스아파트,042-545-9044,대전광역시 서구 관저남로 80,대전광역시 서구 관저남로 80,사용중,(주)라디안,대한민국,HR-501
296,대전둔산1,042-484-2592,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11 대전둔산주공1단지 관리사무소,사용중,(주)나눔테크,한국,NT-381
297,대전둔산1,042-484-2592,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11 대전둔산주공1단지 관리사무소,사용중,메디아나,한국,HeatOn A15-G4
298,대전둔산1,042-484-2592,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11 대전둔산주공1단지 관리사무소,사용중,메디아나,한국,HeatOn A15-G4
299,산호한양아파트,042-485-1289,대전광역시 서구 계룡로571번길 65,대전광역시 서구 계룡로571번길 65,사용중,(주)라디안,대한민국,HR-501-B
300,무궁화아파트,042-485-6225,대전광역시 서구 청사서로 70,대전광역시 서구 청사서로 70,사용중,(주)라디안,대한민국,HR-501-B
301,다모아아파트,042-489-3407,대전광역시 서구 월평동로 83,대전광역시 서구 월평동로 83,사용중,(주)라디안,대한민국,HR-501B
302,느리울13단지아파트,042-543-0660,대전광역시 서구 관저동로 42,대전광역시 서구 관저동로 42,사용중,(주)메디아나,한국,Heart On A15-G4
303,느리울13단지아파트,042-543-0660,대전광역시 서구 관저동로 42,대전광역시 서구 관저동로 42,사용중,(주)메디아나,한국,Heart On A15-G4
304,느리울13단지아파트,042-543-0660,대전광역시 서구 관저동로 42,대전광역시 서구 관저동로 42,사용중,(주)나눔테크,대한민국,NT-381
305,강변들보람아파트,042-583-1188,대전광역시 서구 정림서로 162-18,대전광역시 서구 정림서로 162-18,사용중,(주)씨유메디칼시스템,한국,i-padNF1200
306,구봉마을8-2단지아파트,042-544-9082,대전광역시 서구 관저로 84,대전광역시 서구 관저로 84,사용중,나눔테크,대한민국,NT-381
307,구봉마을8-2단지아파트,042-544-9082,대전광역시 서구 관저로 84,대전광역시 서구 관저로 84,사용중,메디아나,한국,Heart On A15-G4
308,대전시립연정국악원,042-270-8542,대전광역시 서구 둔산대로 181,대전광역시 서구 둔산대로 181,사용중,HeartSine Technologies Ltd.,영국,Samaritan PAD AED
309,대전시립연정국악원,042-270-8542,대전광역시 서구 둔산대로 181,대전광역시 서구 둔산대로 181,사용중,HeartSine Technologies Ltd.,영국,Samaritan PAD AED
310,대전주공둔산3단지,042-484-1943,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11,사용중,메다아나,한국,a15-g4
311,대전주공둔산3단지,042-484-1943,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11,사용중,메디아나,한국,a15-g4
312,대전주공둔산3단지,042-484-1943,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11,사용중,메다아나,한국,a15-g4
313,대전주공둔산3단지,042-484-1943,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11,사용중,메디아나,한국,a15-g4
314,대전주공둔산3단지,042-484-1943,대전광역시 서구 월평북로 11,대전광역시 서구 월평북로 11,사용중,(주)나눔테크,한국,nt-381
315,관저리슈빌아파트관리사무소,042-544-0055,"대전광역시 서구 관저동로90번길 15 (관저동,관저리슈빌)","대전광역시 서구 관저동로90번길 15 (관저동,관저리슈빌)",사용중,주식회사 라디안,한국,HR-501-B
316,구봉마을8-1단지아파트,042-541-9081,대전광역시 서구 관저로 84,대전광역시 서구 관저로 84,사용중,(주)라디안,대한민국,HR-501
317,한아름아파트,042-487-2359,대전광역시 서구 청사서로 65,대전광역시 서구 청사서로 65,사용중,(주)라디안,대한민국,HR-501-B
318,대전둔원고등학교,042-530-3677,대전광역시 서구 대덕대로 101,대전광역시 서구 대덕대로 101,사용중,(주)씨유메디컬시스템,대한민국,NFK-200
319,한가람아파트,042-485-0230,대전광역시 서구 문예로 16,대전광역시 서구 문예로 16,사용중,(주)나눔테크,대한민국,NT-180
320,도안아이파크,042-545-9322,대전광역시 서구 도안동로 183,대전광역시 서구 도안동로 183,사용중,라디안큐바이오,대한민국,HR-501
321,국화신동아아파트관리사무소,042-482-9192,대전광역시 서구 둔산로 201,대전광역시 서구 둔산로 201,사용중,(주)씨유메디칼시스템,대한민국,NF1200
322,도안베르디움,042-542-0922,대전광역시 서구 원도안로 100,대전광역시 서구 원도안로 100,사용중,라디안,대한민국,HR501
323,구봉마을7단지아파트,042-544-9070,대전광역시 서구 관저로 48,대전광역시 서구 관저로 48,사용중,(주)라디안,한국,HR-501-B
324,느리울마을11단지아파트,042-544-3001,대전광역시 서구 관저동로90번길 47,대전광역시 서구 관저동로90번길 47,사용중,(주)나눔테크,한국,NT-285
325,보라2단지아파트,042-483-5593,대전광역시 서구 둔산로 241,대전광역시 서구 둔산로 241,사용중,(주)메디아나,대한민국,A10-G4
326,샘머리2단지아파트,042-489-2163,대전광역시 서구 청사로 281,대전광역시 서구 청사로 281,사용중,(주)라디안,대한민국,라디안 HR501
327,미즈여성병원,042-483-3575,대전광역시 서구 탄방동 673번지 주안빌딩,"대전광역시 서구 문정로2번길 95, 주안빌딩 (탄방동)",사용중,씨유메디칼,대한민국,CU-SP1+
328,성애노인요양원,042-545-9874,대전광역시 서구 구봉산북로94번길 130,대전광역시 서구 구봉산북로94번길 130,사용중,(주)메디아나,대한민국,HeartOn A10-G4
329,병무청,042-481-2833,대전광역시 서구 청사로 189 2동,대전광역시 서구 청사로 189 2동,사용중,주식회사나눔테크,한국,저출력심장충격기/NT-381
330,연광자립원,042-581-0083,대전광역시 서구 영골길 159,대전광역시 서구 영골길 159,사용중,Philips Medical Systems,미국,자동심실제세동기
331,동심원,042-581-2254,대전광역시 서구 영골길 159 동심원,대전광역시 서구 영골길 159 동심원,사용중,Philips Medical System,미국,저출력심장충격기HeartstartFR3ECG861389
332,대전금동초등학교,042-542-3331,대전광역시 서구 관저로 45,대전광역시 서구 관저로 45,사용중,주식회사라디안,대한민국,Heart Guardian HR-501
333,원앙마을4-1단지아파트,042-545-4243,대전광역시 서구 관저북로 14,대전광역시 서구 관저북로 14,사용중,(주)라디안,대한민국,"심장충격기,HR-501"
334,원앙마을4-1단지아파트,042-545-4243,대전광역시 서구 관저북로 14,대전광역시 서구 관저북로 14,사용중,(주)라디안,대한민국,"심장충격기,HR-501"
335,원앙마을4-1단지아파트,042-545-4243,대전광역시 서구 관저북로 14,대전광역시 서구 관저북로 14,사용중,(주)라디안,대한민국,"심장충격기,HR-501"
336,한국환경공단충청권지역본부,042-939-2208,대전광역시 서구 청사로 156,대전광역시 서구 청사로 156,사용중,(주)씨유메디칼시스템,한국,저출력심장충격기
337,월평종합사회복지관,042-484-6181,대전광역시 서구 월평북로 11 주공둔산3단지아파트 앞,대전광역시 서구 월평북로 11,사용중,(주)씨유메디칼시스템,한국,CU-SP1
338,정림종합사회복지관,042-584-4451,대전광역시 서구 계백로1286번길 86,대전광역시 서구 계백로1286번길 86,사용중,씨유메디칼시스템,한국,저출력심장충격기 CU-SP1
339,용문종합사회복지관,042-537-0615,대전광역시 서구 계룡로 626-1,대전광역시 서구 계룡로 626-1,사용중,씨유메디칼,한국,I-PAD CU-SP1
340,대전문정중학교,042-486-0822,대전광역시 서구 둔산북로 232-11,대전광역시 서구 둔산북로 232-11,사용중,(주)씨유메디칼시스템,gksrnr,I-PAD NK1200
341,대전삼천중학교,042-483-6734,대전광역시 서구 문정로 271,대전광역시 서구 문정로 271,사용중,(주)씨유메디칼시스템,한국,i-PAD CU-SP1
342,한밭종합사회복지관,042-484-5325,대전광역시 서구 월평북로 11 둔산주공아파트 1단지,대전광역시 서구 월평북로 11,사용중,(주)씨유메디칼시스템,한국,i-PAD CU-SP1
343,둔산종합사회복지관,042-482-2032,대전광역시 서구 둔산로 241,대전광역시 서구 둔산로 241,사용중,(주)씨유메디칼시스템,한국,저출력심장충격기 CU-SP1
344,대청병원,042-589-6872,대전광역시 서구 계백로 1322,대전광역시 서구 계백로 1322,사용중,메디아나,한국,HeartOn A15-G4
345,대청병원,042-589-6872,대전광역시 서구 계백로 1322,대전광역시 서구 계백로 1322,사용중,니혼코덴,일본,AED-2152L
346,관저종합사회복지관,042-545-6810,대전광역시 서구 구봉로 13,대전광역시 서구 구봉로 13,사용중,(주)씨유메디칼시스템,한국,i-PAD CU-SP1
347,대전광역시서구청,042-288-2292,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산서로 100,사용중,(주)라디안,대한민국,HR-503
348,우명보건진료소,042-288-4661,대전광역시 서구 우명길 33-14,대전광역시 서구 우명길 33-14,사용중,메디아나,대한민국,HeartOnA15-G8
349,기성보건지소,042-288-4653,대전광역시 서구 벌곡로 658,대전광역시 서구 벌곡로 658,사용중,메디아나,대한민국,HeartOnA15-G8
350,관저보건지소,042-288-4622,대전광역시 서구 구봉산북로 300,대전광역시 서구 구봉산북로 300,사용중,메디아나,대한민국,HeartOnA15-G8
351,장태산관리사무소,042-270-7883,대전광역시 서구 장안로 461,대전광역시 서구 장안로 461,사용중,필립스,미국,861304 HeartStart FRx Defibrillator
352,삼성래미안아파트,042-523-5005,대전광역시 서구 가장로 106,대전광역시 서구 가장로 106,사용중,(주)나눔테크,한국,NT-285
353,삼성래미안아파트,042-523-5005,대전광역시 서구 가장로 106,대전광역시 서구 가장로 106,사용중,(주)나눔테크,한국,NT-285
354,구봉마을9단지아파트,042-545-0093,대전광역시 서구 관저서로 20,대전광역시 서구 관저서로 20,사용중,나눔테크,한국,HeartKeeper
355,갈마아파트,042-524-3540,대전광역시 서구 신갈마로 95,대전광역시 서구 신갈마로 95,사용중,kt링커스,한국,HeartPlus NT-180
356,수목토아파트,042-541-0151,대전광역시 서구 도안동로 177,대전광역시 서구 도안동로 177,사용중,나눔테크,대한민국,ReHeart NT-381.o
357,원앙마을2단지아파트,042-545-2118,대전광역시 서구 관저북로 80,대전광역시 서구 관저북로 80,사용중,라디안큐바이오,대한민국,HR-503-KT
358,원앙마을4-2단지아파트,042-545-1634,대전광역시 서구 관저북로 14,대전광역시 서구 관저북로 14,사용중,씨유메디칼,대한민국,CU-SP1 Plus
359,대자연마을아파트,042-543-3500,대전광역시 서구 관저북로 52,대전광역시 서구 관저북로 52,사용중,(주)씨유메디컬시스템,한국,NF1200
360,녹원아파트,042-485-4323,대전광역시 서구 둔산남로 30,대전광역시 서구 둔산남로 30,사용중,kt링커스,한국,HeartPlus NT-180
361,도안리슈빌아파트,042-542-0073,대전광역시 서구 도안동로 123,대전광역시 서구 도안동로 123,사용중,필립스,미국,HeartStart HS1
362,도안리슈빌아파트,042-542-0073,대전광역시 서구 도안동로 123,대전광역시 서구 도안동로 123,사용중,필립스,미국,HeartStart HS1
363,도안리슈빌아파트,042-542-0073,대전광역시 서구 도안동로 123,대전광역시 서구 도안동로 123,사용중,필립스,미국,HeartStart HS1
364,건양대학교병원,042-600-9119,대전광역시 서구 관저동로 158,대전광역시 서구 관저동로 158,사용중,필립스,미국,861304
365,건양대학교병원,042-600-9119,대전광역시 서구 관저동로 158,대전광역시 서구 관저동로 158,사용중,필립스,미국,861304
366,을지대학교병원,042-259-1118,대전광역시 서구 둔산서로 95,대전광역시 서구 둔산서로 95,사용중,(주)메디아나,한국,저출력심장충격기(HeartOn A10-G4)
367,대전시설관리공단,042-483-8603,대전광역시 서구 신갈마로230번길 77,대전광역시 서구 신갈마로230번길 77,사용중,(주)씨유메디칼시스템,한국,NF1200
368,대전광역시시설관리공단 정수원(화장장),042-610-2300,대전광역시 서구 계백로1249번길 174-82,대전광역시 서구 계백로1249번길 174-82,사용중,나눔테크,한국,NT-381.C
369,서구보건소,042-288-4500,대전광역시 서구 만년로 74,대전광역시 서구 만년로 74,사용중,(주)오텍,대한민국,Corplus3
370,서구보건소,042-288-4500,대전광역시 서구 만년로 74,대전광역시 서구 만년로 74,사용중,메디아나,대한민국,HeartOnA15-G8
371,서구보건소,042-288-4500,대전광역시 서구 만년로 74,대전광역시 서구 만년로 74,사용중,메디아나,대한민국,HeartOnA15-G8
372,대전광역시한밭수목원,042-270-8477,대전광역시 서구 둔산대로 169,대전광역시 서구 둔산대로 169,사용중,(주)나눔테크,대한민국,NT-381.C
373,대전시립미술관,042-270-7331,대전광역시 서구 둔산대로 155,대전광역시 서구 둔산대로 155,사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
374,평송청소년문화센터,042-480-1640,대전광역시 서구 둔산대로 201,대전광역시 서구 둔산대로 201,사용중,주)메디아나,한국,HeartOn A10
375,대전예술의전당,042-270-8141,대전광역시 서구 둔산대로 135,대전광역시 서구 둔산대로 135,사용중,(주)씨유메디칼시스템,대한민국,CU-SP1
376,대전예술의전당,042-270-8141,대전광역시 서구 둔산대로 135,대전광역시 서구 둔산대로 135,사용중,(주)씨유메디칼시스템,대한민국,CU-SP1
377,관세청,042-481-7622,대전광역시 서구 청사로 189,대전광역시 서구 청사로 189,사용중,CU Medical System,대한민국,i-PAD NF1200
378,특허청,042-481-5013,대전광역시 서구 청사로 189,대전광역시 서구 청사로 189,사용중,philips,미국,HeartStart FRx Defibrillator
379,조달청,042-724-7024,대전광역시 서구 청사로 189 3동 조달청 1층 고객지원센터 (둔산동),대전광역시 서구 청사로 189,사용중,씨유메디칼시스템,한국,CU-SP1
380,대전광역시청,042-270-4042,대전광역시 서구 둔산동 1420 대전광역시청,"대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)",사용중,씨유메디칼시스템,대한민국,CU-SPR
381,대전광역시청,042-270-4042,대전광역시 서구 둔산동 1420 대전광역시청,"대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)",사용중,씨유메디칼시스템,대한민국,CU-SPR
382,대전광역시청,042-270-4042,대전광역시 서구 둔산동 1420 대전광역시청,"대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SP1
383,대전광역시청,042-270-4042,대전광역시 서구 둔산동 1420 대전광역시청,"대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SP1
384,대전광역시청,042-270-4042,대전광역시 서구 둔산동 1420 대전광역시청,"대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SP1
385,산림청,042-481-4062,대전광역시 서구 청사로 189,대전광역시 서구 청사로 189,사용중,나눔테크,대한민국,NT-381C
386,대전광역시시설관리공단 기성종합복지관,042-610-9400,,대전광역시 서구 장안로 54,사용중,나눔테크,한국,NT-381.C
