순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
1093,익산소방서,"전라북도 익산시 무왕로 1338, 익산소방서 (팔봉동)",익산시보건소,"전라북도 익산시 무왕로 1338, 익산소방서 (팔봉동)",구급차 내(팔봉 74라4494)
1094,익산공설운동장,"전라북도 익산시 무왕로 1397, 익산공설운동장 (부송동)",익산시보건소,"전라북도 익산시 무왕로 1397, 익산공설운동장 (부송동)",실내체육관 출입구
1095,원광대학교병원,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",익산시보건소,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",구급차 내(71서 1480)
1096,원광대학교병원,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",익산시보건소,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",구급차 내(75라 8023)
1097,원광대학교병원,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",익산시보건소,"전라북도 익산시 무왕로 895, 원광대학병원 (신동)",구급차 내(75라8334)
1098,의료법인대산의료재단익산병원,"전라북도 익산시 무왕로 969, 익산병원 (신동)",익산시보건소,"전라북도 익산시 무왕로 969, 익산병원 (신동)",구급차 내(79보6796)
1099,익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",보건소 음압구급차
1100,익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",보건소 앰블런스(6484)
1101,익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",1층 민원실 로비
1102,익산시보건소,"전라북도 익산시 무왕로 975, 익산시보건소 (신동)",익산시보건소,전라북도 익산시 무왕로 975 (신동),구급차 내(8344)
1103,어양주공6단지아파트,"전라북도 익산시 무왕로19길 11 (어양동, 어양주공6단지)",익산시보건소,"전라북도 익산시 무왕로19길 11 관리사무소 (어양동, 어양주공6단지)",관리사무소 앞
1104,익산1차부영아파트,"전라북도 익산시 무왕로20길 17 (어양동, 부영아파트)",익산시보건소,전라북도 익산시 무왕로20길 17,통합경비실 내
1105,익산부송주공1단지아파트,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",익산시보건소,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",관리사무소 뒤편 복도 벽면
1106,익산부송주공1단지아파트,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",익산시보건소,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",관리사무소 뒤편 복도 벽면2
1107,익산부송주공1단지아파트,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",익산시보건소,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",관리사무소내
1108,익산부송주공1단지아파트,"전라북도 익산시 무왕로22길 12 (부송동, 익산부송 1 주공아파트)",익산시보건소,전라북도 익산시 무왕로22길 12 관리사무소,관리동 로비
1109,부송아름드리아파트,"전라북도 익산시 무왕로22길 27 (부송동, 아름드리아파트)",익산시보건소,"전라북도 익산시 무왕로22길 27 (부송동, 아름드리아파트)",관리사무소 입구
1110,익산부송3주공아파트,"전라북도 익산시 무왕로22길 28 (부송동, 익산부송 3 주공아파트)",익산시보건소,"전라북도 익산시 무왕로22길 28 (부송동, 익산부송 3 주공아파트)",관리동통합경비실
1111,익산부송3주공아파트,"전라북도 익산시 무왕로22길 28 (부송동, 익산부송 3 주공아파트)",익산시보건소,전라북도 익산시 무왕로22길 28,관리사무소 로비
1112,익산궁동초등학교,"전라북도 익산시 무왕로25길 26, 익산궁동초등학교 (부송동)",익산시보건소,전라북도 익산시 무왕로25길 26,중앙현관 출입문 뒤
1113,부송우남콤비타운아파트,"전라북도 익산시 무왕로26길 11-5 (부송동, 부송 우남아파트)",익산시보건소,"전라북도 익산시 무왕로26길 11-5 (부송동, 우남콤비타운아파트)",관리사무소
1114,익산부송동아1차아파트,"전라북도 익산시 무왕로26길 32 (부송동, 동아아파트)",익산시보건소,"전라북도 익산시 무왕로26길 32 (부송동, 동아아파트)",관리사무소내
1115,원광고등학교,"전라북도 익산시 무왕로31길 139, 원광고등학교 (부송동)",익산시보건소,전라북도 익산시 무왕로31길 139 (원광고등학교. 부송동),본관 1층 중앙 통로
1116,기안파인골드빌아파트,"전라북도 익산시 무왕로32길 85 (팔봉동, 기안파인골드빌아파트)",익산시보건소,"전라북도 익산시 무왕로32길 85 (팔봉동, 기안파인골드빌아파트)",관리사무소 1층 입구
1117,영등제일4차아파트,"전라북도 익산시 무왕로9길 60 (영등동, 영등4차 제일아파트)",익산시보건소,"전라북도 익산시 무왕로9길 60 (영등동, 영등4차 제일아파트)",관리동1층
1118,수사랑병원,전라북도 익산시 배산로 69 (모현동1가),익산시보건소,전라북도 익산시 배산로 69 (모현동1가),병원내
1119,배산에코르아파트,"전라북도 익산시 배산로 93 (모현동1가, 익산배산에코르아파트)",익산시보건소,"전라북도 익산시 배산로 93 106동 1층 (모현동1가, 익산배산에코르아파트)",관리사무소 내(106동 1층)
1120,모현현대2차아파트,"전라북도 익산시 배산로14길 9 (모현동1가, 현대아파트)",익산시보건소,전라북도 익산시 배산로14길 9,관리사무소 내
1121,송백마을아파트,"전라북도 익산시 부송1로 123 (부송동, 익산부송송백마을)",익산시보건소,"전라북도 익산시 부송1로 123 (부송동, 익산부송송백마을)",송백마을 아파트 단지 내 후문 경비실
1122,송백마을아파트,"전라북도 익산시 부송1로 123 (부송동, 익산부송송백마을)",익산시보건소,전라북도 익산시 부송1로 123 관리사무소,관리사무소 출입문 입구
1123,어양주공4단지아파트,전라북도 익산시 부송1로 17 (어양동),익산시보건소,전라북도 익산시 부송1로 17,관리사무소 입구 현관
1124,부송동신아파트,"전라북도 익산시 부송1로 83, 동신아파트 (부송동)",익산시보건소,전라북도 익산시 부송1로 83,정문 경비실 안
1125,삼기연동보건진료소,"전라북도 익산시 삼기면 연동길 22, 삼기연동보건진료소",익산시보건소,"전라북도 익산시 삼기면 연동길 22, 삼기연동보건진료소",진료실
1126,삼기대제보건진료소,"전라북도 익산시 삼기면 용연길 174-58, 대제보건진료소",익산시보건소,"전라북도 익산시 삼기면 용연길 174-58, 대제보건진료소",진료실
1127,삼기보건지소,"전라북도 익산시 삼기면 원촌길 9-1, 삼기보건소",익산시보건소,"전라북도 익산시 삼기면 원촌길 9-1, 삼기보건소",대기실
1128,동산동세경1차아파트,"전라북도 익산시 서동로18길 66 (동산동, 세경아파트)",익산시보건소,전라북도 익산시 서동로18길 66,관리사무소 1층 경비실
1129,배산제일오투그란데아파트,"전라북도 익산시 선화로 17 (모현동2가, 배산 제일 오투그란데)",익산시보건소,"전라북도 익산시 선화로 17 (모현동2가, 배산제일 오투그란데)",관리사무소
1130,배산제일오투그란데아파트,"전라북도 익산시 선화로 17 (모현동2가, 배산 제일 오투그란데)",익산시보건소,"전라북도 익산시 선화로 17 (모현동2가, 배산제일 오투그란데)",노인정
1131,국민생활관,"전라북도 익산시 선화로 255, 익산시올림픽기념국민생활관 (남중동)",익산시보건소,전라북도 익산시 선화로 255,지하1층 안전요원실(수영장)
1132,실로암사랑요양병원,"전라북도 익산시 선화로 389, 실로암사랑병원 (영등동)",익산시보건소,"전라북도 익산시 선화로 389, 실로암사랑병원 (영등동)",구급차 내(74라4129)
1133,배산사랑으로1차부영아파트,"전라북도 익산시 선화로 41 (모현동1가, 익산배산사랑으로부영1차)",익산시보건소,"전라북도 익산시 선화로 41 (모현동1가, 배산사랑으로1차부영아파트)",관리사무소
1134,익산e편한세상아파트,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",익산시보건소,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",108동 1층 입구
1135,익산e편한세상아파트,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",익산시보건소,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",110동 1층 입구
1136,익산e편한세상아파트,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",익산시보건소,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",106동 1층 입구
1137,익산e편한세상아파트,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",익산시보건소,"전라북도 익산시 선화로10길 17 (모현동1가, 익산e편한세상)",정문보안실
1138,배산휴먼시아4단지,"전라북도 익산시 선화로1길 25-14 (모현동2가, 배산휴먼시아4단지)",익산시보건소,"전라북도 익산시 선화로1길 25-14 (모현동2가, 배산휴먼시아4단지)",제3경비초소
1139,배산휴먼시아4단지,"전라북도 익산시 선화로1길 25-14 (모현동2가, 배산휴먼시아4단지)",익산시보건소,"전라북도 익산시 선화로1길 25-14 (모현동2가, 배산휴먼시아4단지)",제1경비초소
1140,배산휴먼시아4단지,"전라북도 익산시 선화로1길 25-14 (모현동2가, 배산휴먼시아4단지)",익산시보건소,"전라북도 익산시 선화로1길 25-14 모현동2가, 배산휴먼시아4단지",관리사무소 앞
1141,배산휴먼시아5단지,"전라북도 익산시 선화로1길 57-32 (모현동2가, 배산휴먼시아5단지)",익산시보건소,"전라북도 익산시 선화로1길 57-32 (모현동2가, 배산휴먼시아5단지)",508동 앞 경비실
1142,배산휴먼시아5단지,"전라북도 익산시 선화로1길 57-32 (모현동2가, 배산휴먼시아5단지)",익산시보건소,"전라북도 익산시 선화로1길 57-32 (모현동2가, 배산휴먼시아5단지)",주민복지관 내 관리사무소 앞
1143,익산배산2차부영아파트,"전라북도 익산시 선화로1길 57-33 (모현동2가, 익산배산사랑으로부영2차아파트)",익산시보건소,전라북도 익산시 선화로1길 57-33 익산배산사랑으로부영2차아파트,관리사무소
1144,익산미소요양병원,전라북도 익산시 선화로22길 52-9 (마동),익산시보건소,전라북도 익산시 선화로22길 52-9 (마동),구급차 내(74라4141)
1145,부송동 우미아파트,"전라북도 익산시 선화로69길 45 (부송동, 우미아파트)",익산시보건소,"전라북도 익산시 선화로69길 45 (부송동, 우미아파트)",경비실 내
1146,부송삼성아파트,"전라북도 익산시 선화로69길 59 (부송동, 삼성아파트)",익산시보건소,전라북도 익산시 선화로69길 59 관리사무소,관리사무소 입구
1147,"모현현대4,5,6차아파트","전라북도 익산시 선화로8길 12 (모현동1가, 모현5차현대아파트)",익산시보건소,"전라북도 익산시 선화로8길 12 관리동 2층 (모현동1가, 모현5차현대아파트)",관리사무소 앞
1148,성당두동보건진료소,"전라북도 익산시 성당면 두동길 13-11, 성당두동보건진료소",익산시보건소,"전라북도 익산시 성당면 두동길 13-11, 성당두동보건진료소",진료실
1149,성당대선보건진료소,"전라북도 익산시 성당면 한틀길 52, 성당대선보건진료소",익산시보건소,"전라북도 익산시 성당면 한틀길 52, 성당대선보건진료소",진료실
1150,성당보건지소,"전라북도 익산시 성당면 황성로 727, 성당면사무소",익산시보건소,"전라북도 익산시 성당면 황성로 727, 성당면사무소",보건지소 대기실
1151,영등신일아파트,"전라북도 익산시 약촌로 202 (영등동, 영등 신일APT)",익산시보건소,"전라북도 익산시 약촌로 202 (영등동, 영등 신일APT)",정문 경비실 내
1152,영등동동신아파트,"전라북도 익산시 약촌로 228 (영등동, 동신아파트)",익산시보건소,"전라북도 익산시 약촌로 228 (영등동, 동신아파트)",아파트정문 휴게소
1153,여산보건지소,"전라북도 익산시 여산면 가람로 393, 여산보건지소",익산시보건소,"전라북도 익산시 여산면 가람로 393, 여산보건지소",보건지소진료실
1154,여산태성보건진료소,"전라북도 익산시 여산면 태성1길 90, 여산태성보건진료소",익산시보건소,"전라북도 익산시 여산면 태성1길 90, 여산태성보건진료소",진료실
1155,여산휴게소(하행선),"전라북도 익산시 여산면 호남고속도로 191, 여산휴게소 하행",익산시보건소,"전라북도 익산시 여산면 호남고속도로 191, 여산휴게소 하행",종합안내소
1156,여산휴게소(하행선),"전라북도 익산시 여산면 호남고속도로 191, 여산휴게소 하행",익산시보건소,"전라북도 익산시 여산면 호남고속도로 191, 여산휴게소 하행",중앙 출입문
1157,여산휴게소(상행선),"전라북도 익산시 여산면 호남고속도로 192, 여산휴게소(상행)",익산시보건소,"전라북도 익산시 여산면 호남고속도로 192, 여산휴게소(상행)",종합안내소
1158,여산휴게소(상행선),"전라북도 익산시 여산면 호남고속도로 192, 여산휴게소(상행)",익산시보건소,"전라북도 익산시 여산면 호남고속도로 192, 여산휴게소(상행)",중앙계산대
1159,오산신석보건진료소,"전라북도 익산시 오산면 새들길 8, 오산신석보건진료소",익산시보건소,"전라북도 익산시 오산면 새들길 8, 오산신석보건진료소",진료대기실
1160,장신휴먼시아3단지,전라북도 익산시 오산면 선화로4길 14 (장신휴먼시아3단지),익산시보건소,전라북도 익산시 오산면 선화로4길 14 (장신휴먼시아3단지),정문경비실내
1161,장신휴먼시아3단지아파트,전라북도 익산시 오산면 선화로4길 14 (장신휴먼시아3단지),익산시보건소,전라북도 익산시 오산면 선화로4길 14 장신휴먼시아3단지,관리사무소 내(1층)
1162,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9 (장신휴먼시아2단지),익산시보건소,전라북도 익산시 오산면 선화로4길 24-9 (장신휴먼시아2단지),장신휴먼시아2단지 정문경비실
1163,장신휴먼시아2단지아파트,전라북도 익산시 오산면 선화로4길 24-9 (장신휴먼시아2단지),익산시보건소,전라북도 익산시 오산면 선화로4길 24-9 장신휴먼시아2단지아파트,관리사무소 내
1164,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66 (장신휴먼시아1단지),익산시보건소,전라북도 익산시 오산면 선화로4길 66 (장신휴먼시아1단지),장신휴먼시아1단지 104동 옆 경비실 내
1165,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66 (장신휴먼시아1단지),익산시보건소,전라북도 익산시 오산면 선화로4길 66 장신휴먼시아1단지,주민복지관 입구(1층)
1166,오산보건지소,"전라북도 익산시 오산면 오산로 14-8, 오산보건지소",익산시보건소,"전라북도 익산시 오산면 오산로 14-8, 오산보건지소",보건지소 진료실
1167,왕궁상발보건진료소,"전라북도 익산시 왕궁면 발산길 107, 상발보건진료소",익산시보건소,"전라북도 익산시 왕궁면 발산길 107, 상발보건진료소",진료소 현관
1168,에이디오인프라코어,전라북도 익산시 왕궁면 왕궁로 707,익산시보건소,전라북도 익산시 왕궁면 왕궁로 707,1층 출입구 승강기 옆
1169,왕궁용남보건진료소,"전라북도 익산시 왕궁면 호반로 21-6, 용남보건진료소",익산시보건소,"전라북도 익산시 왕궁면 호반로 21-6, 용남보건진료소",진료실
1170,보석박물관,"전라북도 익산시 왕궁면 호반로 8, 보석박물관",익산시보건소,전라북도 익산시 왕궁면 호반로 8 (보석박물관),피라미드동
1171,보석박물관,"전라북도 익산시 왕궁면 호반로 8, 보석박물관",익산시보건소,전라북도 익산시 왕궁면 호반로 8 (보석박물관),화석전시관
1172,왕궁보건지소,"전라북도 익산시 왕궁면 흥암1길 18, 왕궁보건지소",익산시보건소,"전라북도 익산시 왕궁면 흥암1길 18, 왕궁보건지소",보건지소 대기실
1173,용동보건지소,"전라북도 익산시 용동면 용동1길 80-29, 용동보건지소",익산시보건소,"전라북도 익산시 용동면 용동1길 80-29, 용동보건지소",진료실
1174,용동양촌보건진료소,"전라북도 익산시 용동면 화왕로 190, 용동양촌보건진료소",익산시보건소,"전라북도 익산시 용동면 화왕로 190, 용동양촌보건진료소",진료실
1175,용안석우보건진료소,"전라북도 익산시 용안면 법성1길 22-14, 석우보건진료소",익산시보건소,"전라북도 익산시 용안면 법성1길 22-14, 석우보건진료소",진료소 현관
1176,용안보건지소,"전라북도 익산시 용안면 현내1로 65, 용안보건지소",익산시보건소,"전라북도 익산시 용안면 현내1로 65, 용안보건지소",출입구 현관
1177,웅포보건지소,"전라북도 익산시 웅포면 강변로 28, 웅포보건지소",익산시보건소,"전라북도 익산시 웅포면 강변로 28, 웅포보건지소",보건지소 대기실
1178,웅포소대마진료소,"전라북도 익산시 웅포면 대마길 19-5, 웅포소대마보건진료소",익산시보건소,"전라북도 익산시 웅포면 대마길 19-5, 웅포소대마보건진료소",진료실
1179,웅포하제보건진료소,"전라북도 익산시 웅포면 제성1길 4, 하제보건진료소",익산시보건소,"전라북도 익산시 웅포면 제성1길 4, 하제보건진료소",진료소 현관
1180,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","1,2번홈 승강장 E/S와 고객대기실 사이"
1181,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","선상 이동통로 3,4번 입구"
1182,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","선상 이동통로 7,8번 입구"
1183,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","3,4번 승강장"
1184,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","7,8번 승강장"
1185,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)","5,6번 승강장"
1186,한국철도공사 익산역,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산시보건소,"전라북도 익산시 익산대로 153, 익산역 (창인동2가)",익산역 맞이방 여행센터 옆
1187,익산공용버스터미널,"전라북도 익산시 익산대로 52, 시외버스터미널 (평화동)",익산시보건소,전라북도 익산시 익산대로 52 시외버스터미널 (평화동),대합실
1188,고속버스터미널(익산),"전라북도 익산시 익산대로 56, 고속버스터미널 (평화동)",익산시보건소,전라북도 익산시 익산대로 56 (평화동),대합실
1189,연세요양병원,"전라북도 익산시 익산대로22길 52, 연세병원 (남중동)",익산시보건소,"전라북도 익산시 익산대로22길 52, 연세병원 (남중동)",구급차내
1190,(재)원병원,"전라북도 익산시 익산대로25길 18, 원병원 (신동)",익산시보건소,"전라북도 익산시 익산대로25길 18, 원병원 (신동)",구급차 내(74라4048)
1191,의료법인원광의료재단원광효도요양병원,"전라북도 익산시 익산대로33길 69, 원광효도노인전문병원 (신용동)",익산시보건소,"전라북도 익산시 익산대로33길 69, 원광효도노인전문병원 (신용동)",구급차 내((73무2404)
1192,조용원정형외과,"전라북도 익산시 익산대로36길 43, 조용원정형외과 (남중동)",익산시보건소,"전라북도 익산시 익산대로36길 43, 조용원정형외과 (남중동)",구급차 내(74라4011)
1193,익산금호어울림아파트,"전라북도 익산시 인북로 334 (신동, 익산 금호어울림)",익산시보건소,전라북도 익산시 인북로 334,관리사무소 내
1194,익산시청,"전라북도 익산시 인북로32길 1, 익산시청 (남중동)",익산시보건소,"전라북도 익산시 인북로32길 1, 익산시청 (남중동)",익산시청 현관
1195,메디하우스요양병원,"전라북도 익산시 인북로4길 59, 메디하우스요양병원 (인화동2가)",익산시보건소,"전라북도 익산시 인북로4길 59, 메디하우스요양병원 (인화동2가)",구급차 내
1196,(의)동산의료재단동산병원,"전라북도 익산시 중앙로 141, 동산병원 (마동)",익산시보건소,"전라북도 익산시 중앙로 141, 동산병원 (마동)",구급차 내(74라4135)
1197,수요양병원,전라북도 익산시 중앙로1길 23 (창인동1가),익산시보건소,전라북도 익산시 중앙로1길 23 (창인동1가),구급차 내(72거4028)
1198,고려온천아파트,전라북도 익산시 춘포면 궁성로 124 (춘포고려온천아파트),익산시보건소,전라북도 익산시 춘포면 궁성로 124 (춘포고려온천아파트),경비실 내
1199,춘포신동보건진료소,"전라북도 익산시 춘포면 미등골길 220-1, 신동보건소",익산시보건소,"전라북도 익산시 춘포면 미등골길 220-1, 신동보건진료소",진료실
1200,춘포보건지소,전라북도 익산시 춘포면 춘포2길 11,익산시보건소,"전라북도 익산시 춘포면 춘포2길 11, 춘포면사무소",보건지소 대기실
1201,춘포원오산보건진료소,"전라북도 익산시 춘포면 춘포원오산1길 43-2, 춘포원오산보건진료소",익산시보건소,"전라북도 익산시 춘포면 춘포원오산1길 43-2, 춘포원오산보건진료소",진료실
1202,익산제일병원,"전라북도 익산시 평동로 665, 익산제일병원 (인화동1가)",익산시보건소,"전라북도 익산시 평동로 665, 익산제일병원 (인화동1가)",구급차 내(71나5670)
1203,주식회사이마트익산점,"전라북도 익산시 평동로 705, E마트 (동산동)",익산시보건소,전라북도 익산시 평동로 705 (동산동),1층 고객만족센터 앞
1204,동산동우남아파트,"전라북도 익산시 평동로 799 (동산동, 우남아파트)",익산시보건소,"전라북도 익산시 평동로 799 (동산동, 우남아파트)",관리사무실 내
1205,쌍용아파트,"전라북도 익산시 하나로 357 (어양동, 쌍용아파트)",익산시보건소,전라북도 익산시 하나로 357,아파트정문 경비실 앞
1206,부영3차아파트(영등동),"전라북도 익산시 하나로 483-60 (영등동, 부영아파트)",익산시보건소,"전라북도 익산시 하나로 483-60 (영등동, 부영아파트)",정문경비실 옆 복도(1층)
1207,익산5차부영아파트,"전라북도 익산시 하나로10길 97 (부송동, 부영아파트)",익산시보건소,"전라북도 익산시 하나로10길 97 (부송동, 부영아파트)",관리사무소 입구
1208,우남그랜드타운아파트,"전라북도 익산시 하나로13길 26 (영등동, 우남그랜드타운)",익산시보건소,"전라북도 익산시 하나로13길 26 (영등동, 우남그랜드타운)",정문 출입구 공중전화박스옆
1209,송학지안리즈아파트,"전라북도 익산시 학곤로 154-7 (송학동, 송학 지안리즈)",익산시보건소,"전라북도 익산시 학곤로 154-7 (송학동, 송학 지안리즈)",관리사무소입구
1210,익산더샵아파트,"전라북도 익산시 학곤로20길 77 (송학동, 익산 더샵)",익산시보건소,"전라북도 익산시 학곤로20길 77 (송학동, 익산 더샵)",관리사무소내
1211,함라보건지소,"전라북도 익산시 함라면 천남길 5, 함라보건소",익산시보건소,"전라북도 익산시 함라면 천남길 5, 함라보건소",보건지소 대기실
1212,함라신촌보건진료소,"전라북도 익산시 함라면 함라로 243, 함라신촌보건진료소",익산시보건소,"전라북도 익산시 함라면 함라로 243, 함라신촌보건진료소",진료실
1213,다송초등학교,"전라북도 익산시 함열읍 익산대로 1351, 다송초등학교",익산시보건소,전라북도 익산시 함열읍 익산대로 1351,1층 현관
1214,의료재단엔젤요양병원,"전라북도 익산시 함열읍 익산대로 1493-1, 요양병원",익산시보건소,"전라북도 익산시 함열읍 익산대로 1493-1, 요양병원",구급차 내(71라3848)
1215,한국농어촌공사 익산지사,전라북도 익산시 함열읍 익산대로 1794,익산시보건소,"전라북도 익산시 함열읍 익산대로 1794, 한국농촌공사익산지사",본관 1층 현관
1216,한국농어촌공사 익산지사,전라북도 익산시 함열읍 익산대로 1794,익산시보건소,"전라북도 익산시 함열읍 익산대로 1794, 한국농촌공사익산지사",본관 1층 현관
1217,함열중앙병원,"전라북도 익산시 함열읍 함열1길 29, 함열중앙병원",익산시보건소,"전라북도 익산시 함열읍 함열1길 29, 함열중앙병원",구급차내
1218,함열휴먼시아1단지아파트,전라북도 익산시 함열읍 함열5길 28 (함열휴먼시아),익산시보건소,전라북도 익산시 함열읍 함열5길 28 (함열휴먼시아),제2경비실
1219,함열휴먼시아1단지아파트,전라북도 익산시 함열읍 함열5길 28 (함열휴먼시아),익산시보건소,전라북도 익산시 함열읍 함열5길 28,관리동 1층
1220,함열보건지소,"전라북도 익산시 함열읍 함열중앙로 49, 함열보건소",익산시보건소,"전라북도 익산시 함열읍 함열중앙로 49, 함열보건소",1층 민원실(내과진료실)
1221,황등성내보건진료소,"전라북도 익산시 황등면 성내1길 2-7, 성내보건진료소",익산시보건소,"전라북도 익산시 황등면 성내1길 2-7, 성내보건진료소",진료실
1222,황등신성보건진료소,"전라북도 익산시 황등면 시와로 335, 황등신성보건진료소",익산시보건소,"전라북도 익산시 황등면 시와로 335, 황등신성보건진료소",진료실
1223,황등보건지소,"전라북도 익산시 황등면 황등로 136, 황등면보건지소",익산시보건소,"전라북도 익산시 황등면 황등로 136, 황등면보건지소",보건지소 대기실
1224,강진보건지소,"전라북도 임실군 강진면 갈담2길 4-9, 임실군강진덕치면대",임실군보건의료원,전라북도 임실군 강진면 호국로 47-1,내과진료실
1225,옥정보건진료소,"전라북도 임실군 강진면 옥정호로 800-4, 옥정보건진료소",임실군보건의료원,전라북도 임실군 강진면 옥정호로 800-4,대기실
1226,강진면사무소,"전라북도 임실군 강진면 호국로 47, 강진면 사무소",임실군보건의료원,"전라북도 임실군 강진면 호국로 47, 강진면 사무소",입구왼쪽
1227,학석보건진료소,전라북도 임실군 강진방현리길 65,임실군보건의료원,전라북도 임실군 강진면 방현길 65,대기실
1228,도봉보건진료소,"전라북도 임실군 관촌면 도봉1길 8-18, 도봉보건 진료소",임실군보건의료원,전라북도 임실군 관촌면 도봉리 517-1,대기실
1229,방수보건진료소,"전라북도 임실군 관촌면 방수1길 16-17, 방수보건진료소",임실군보건의료원,전라북도 임실군 관촌면 방수리 748-7,대기실
1230,관촌면사무소,"전라북도 임실군 관촌면 사선1길 13, 관촌면사무소",임실군보건의료원,전라북도 임실군 관촌면 사선1길 13,민원실
1231,관촌보건지소,"전라북도 임실군 관촌면 사선1길 13-1, 관촌면 보건지소",임실군보건의료원,"전라북도 임실군 관촌면 사선1길 13-1, 관촌면 보건지소",환자대기실
1232,관촌사선대관리사무소,전라북도 임실군 관촌면 사선2길,임실군보건의료원,전라북도 임실군 관촌면 사선2길 68-7,사무실
1233,임실군청소년수련관,"전라북도 임실군 관촌면 사선2길 96-24, 임실군청소년수련원",임실군보건의료원,전라북도 임실군 관촌면 사선2길 96-24,청소년수련원 본관 사무실 앞
1234,신전보건진료소,"전라북도 임실군 관촌면 신전4길 3-3, 신전보건진료소",임실군보건의료원,전라북도 임실군 관촌면 신전리 신전4길 3-3,대기실
1235,사곡보건진료소,"전라북도 임실군 덕치면 사곡1길 18-8, 사곡보건진료소",임실군보건의료원,"전라북도 임실군 덕치면 사곡1길 18-8, 사곡보건진료소",사곡보건진료소
1236,사곡보건진료소,"전라북도 임실군 덕치면 사곡1길 18-8, 사곡보건진료소",임실군보건의료원,전라북도 임실군 덕치면 사곡리 401-22,대기실
1237,덕치면사무소,"전라북도 임실군 덕치면 인덕로 1401, 덕치면사무소",임실군보건의료원,전라북도 임실군 덕치면 인덕로 1401,덕치면사무소 정문 출입구 오른쪽
1238,덕치보건지소,"전라북도 임실군 덕치면 회문1길 14, 덕치면보건지소",임실군보건의료원,전라북도 임실군 덕치면 회문리 169,진료실
1239,삼계보건지소,"전라북도 임실군 삼계면 삼계1길 20-11, 삼계보건지소",임실군보건의료원,전라북도 임실군 삼계면 삼계리 436-3,진료실
1240,삼계면사무소,"전라북도 임실군 삼계면 충효로 1281, 삼계면사무소",임실군보건의료원,전라북도 임실군 삼계면 충효로 1281,민원실
1241,송정보건진료소,"전라북도 임실군 삼계면 충효로 1451, 송정보건진료소,모정",임실군보건의료원,"전라북도 임실군 삼계면 충효로 1451, 송정보건진료소,모정",진료소 대기실 정면
1242,오류보건진료소,전라북도 임실군 성수면 오류1길 33,임실군보건의료원,"전라북도 임실군 성수면 오류1길 49, 오류보건진료소",진료소내 현관
1243,성수보건지소,"전라북도 임실군 성수면 월삼로 356, 성수보건소",임실군보건의료원,전라북도 임실군 성수면 양지리 1083-240,대기실
1244,성수면사무소,"전라북도 임실군 성수면 임진로 213, 성수면사무소",임실군보건의료원,전라북도 임실군 성수면 임진로 213,민원실
