대피소명,소재지,전화번호,수용가능인원
원봉초등학교,충청남도 논산시 성동면 정지리,041-735-6083,150
광석초등학교,충청남도 논산시 광석면 신당리,041-733-0482,150
광석중학교,충청남도 논산시 광석면 천동리,041-732-9283,250
왕전초등학교,충청남도 논산시 광석면 왕전리,041-733-8067,140
백석초등학교,충청남도 논산시 연산면 백석리,041-734-2434,120
청동초등학교,충청남도 논산시 연산면 청동리,041-735-0580,100
부적초등학교,충청남도 논산시 부적면 반송리,041-733-4104,200
신교1리마을회관,충청남도 논산시 부적면 신교리,041-732-7384,20
감곡초등학교,충청남도 논산시 부적면 외성리,041-732-3801,160
황화초등학교,충청남도 논산시 연무읍 황화정리,041-741-4925,0
마전2리 노인회관,충청남도 논산시 연무읍 마전리,,0
두여정보화 마을회관,전라북도 익산시 여산면 두여리,063-831-1168,0
보광초등학교,충청북도 괴산군 사리면 사담리,043-836-7188,
사리면사무소,충청북도 괴산군 사리면,043-830-2589,
방성2구 마을회관,충청북도 괴산군 문광면 방성리,043-833-2044,
문광초등학교,충청북도 괴산군 문광면 광덕리,043-832-2847,300
전라남도재난안전대책본부,전라남도 무안군 삼향읍 남악리,061-286-3722,
해보초등학교,전라남도 함평군 해보면 금덕리,061-323-0010,200
해보중학교,전라남도 함평군 해보면 용산리,061-323-0006,170
남도일보,광주광역시 동구 금남로2가,062-670-1000,
감곡중학교,충청북도 음성군 감곡면 오향리,043-882-2091,1037
원당초등학교,충청북도 음성군 감곡면 원당리,043-878-8700,370
음성군청,충청북도 음성군 음성읍 읍내리,043-871-3491,
충북도청,충청북도 청주시 상당구 문화동,043-220-2432,
감곡면사무소,충청북도 음성군 감곡면 오향리,043-871-2941,
빛누리 초등학교(23년),전라남도 나주시 빛가람동,061-338-8704,300
국립나주병원(23년),전라남도 나주시 산포면 산제리,061-330-4114,400
국립나주병원(송림),전라남도 나주시 산포면 산제리,061-330-4114,400
빛누리 초등학교(송림),전라남도 나주시 빛가람동,061-338-8704,300
괴산고등학교,충청북도 괴산군 괴산읍 대사리,043-833-1907,300
괴산중학교,충청북도 괴산군 괴산읍 대사리,043-832-0237,300
괴산고등학교,충청북도 괴산군 괴산읍 대사리,043-833-1901,300
괴산중학교,충청북도 괴산군 괴산읍 신기리,043-833-0237,300
함평군청,전라남도 함평군 함평읍 함평리,061-320-3114,
손불초등학교,전라남도 함평군 손불면 대전리,061-323-4014,900
손불중학교,전라남도 함평군 손불면 산남리,061-323-4065,1000
손불 서초등학교,전라남도 함평군 손불면 월천리,061-324-4249,350
전라남도재난안전대책본부,전라남도 무안군 삼향읍 남악리,061-286-3722,
해보중학교,전라남도 함평군 해보면 용산리,061-323-0116,0
해보초등학교,전라남도 함평군 해보면 금덕리,061-323-0010,200
대한적십자사 경기지사,경기도 수원시,031-230-1681,
권선구청,경기도 수원시 권선구 탑동,031-1899-3300,
구운중학교,경기도 수원시 권선구 구운동,031-294-3014,
경기도수원교육청,경기도 수원시,031-250-1339,
미천면사무소,경상남도 진주시 미천면 오방리,055-749-3851,200
남평중학교 다도분교장(덕동1),전라남도 나주시 다도면 신동리,061-337-3008,200
다도초등학교(덕동1),전라남도 나주시 다도면 궁원리,061-337-1184,300
다도초등학교(23년.),전라남도 나주시 다도면 궁원리,061-337-3009,300
남평중학교 다도분교장(23년.),전라남도 나주시 다도면 신동리,061-337-3008,300
다도초등학교(23년),전라남도 나주시 다도면 궁원리,061-337-3009,
KBS 광주방송총국,광주광역시 서구 치평동,062-610-7100,
나주경찰서(23년),전라남도 나주시 삼도동,061-339-0355,
남평읍사무소(23년),전라남도 나주시 남평읍 남평리,061-339-3506,
이창동행정복지센터(23년),전라남도 나주시 이창동,061-339-3934,
다도면행정복지센터(23년),전라남도 나주시 다도면 신동리,061-339-3784,
나주시청(23년),전라남도 나주시 송월동,061-339-8114,
23년 나주시청,전라남도 나주시,,
남평중학교 다도분교장,전라남도 나주시 다도면 신동리,061-337-3008,300
다도초등학교,전라남도 나주시 다도면 궁원리,061-337-1184,300
소방서,전라남도 함평군 함평읍,061-350-0931,
소방서,전라남도 함평군 함평읍,061-350-0931,
KT함평지사,전라남도 함평군 함평읍,061-322-0060,
성심의원,전라남도 함평군 함평읍,061-324-0001,
대동향교초등학교,전라남도 함평군 대동면 향교리,061-322-2792,68
한국전력공사 함평지점,전라남도 함평군 함평읍 내교리,061-123,
광주일보,광주광역시 동구 금남로5가,062-222-8111,
함평119안전센터,전라남도 함평군 함평읍,061-350-0931,
함평119안전센터,전라남도 함평군 함평읍,061-350-0931,
함평경찰서,전라남도 함평군 함평읍,061-324-0112,
대동면사무소,전라남도 함평군 대동면,061-320-2735,
함평군청,전라남도 함평군 함평읍,061-320-3497,
전라남도 재난대책본부,전라남도 무안군 삼향읍,061-386-4960,
한국농어촌공사 거창함양지사,경상남도 거창군 거창읍 상림리,055-940-5500,
수동중학교,경상남도 함양군 수동면 화산리,055-963-5317,4771
수동초등학교,경상남도 함양군 수동면 화산리,055-963-7834,3386
수동보건지소,경상남도 함양군 수동면 화산리,055-960-5363,63
쌍봉초등학교,충청북도 음성군 금왕읍 쌍봉리,043-877-0255,496
능산초등학교,충청북도 음성군 삼성면 능산리,043-878-5473,255
음성군청,충청북도 음성군 음성읍 읍내리,043-871-3491,
대소금왕고등학교,충청북도 음성군 금왕읍 본대리,043-750-5500,2529
차평2리문화생활관,충청북도 음성군 생극면 차평리,,20
원당초등학교,충청북도 음성군 감곡면 원당리,043-878-8700,370
오선초등학교,충청북도 음성군 금왕읍 오선리,043-877-0595,463
생극중학교,충청북도 음성군 생극면 신양리,043-878-3481,492
로엠교회,충청북도 음성군 생극면 임곡리,043-877-9810,20
충북반도체고등학교,충청북도 음성군 금왕읍 금석리,043-871-5100,901
음성경찰서,충청북도 음성군 음성읍 신천리,043-870-7223,
음성소방서,충청북도 음성군 금왕읍 무극리,043-880-0119,
충주KBS,충청북도 충주시 문화동,043-840-7100,
음성군청,충청북도 음성군 음성읍 읍내리,043-871-5868,
충북도청,충청북도 청주시 상당구 문화동,043-220-2432,
금왕읍사무소,충청북도 음성군 금왕읍 무극리,043-871-2597,
충북반도체고등학교,충청북도 음성군 금왕읍 금석리,043-871-5190,
음성군청,충청북도 음성군 음성읍 읍내리,043-871-3250,
음성군청,충청북도 음성군 음성읍 읍내리,043-871-3250,
금왕태성병원,충청북도 음성군 금왕읍,043-883-8800,
쌍봉초등학교,충청북도 음성군 금왕읍 쌍봉리,043-877-0255,303
충북반도체고등학교,충청북도 음성군 금왕읍 금석리,043-871-5100,1000
음성군청,충청북도 음성군 음성읍 용산리,043-871-3981,
능산초등학교,충청북도 음성군 삼성면 능산리,043-878-5473,363
육군제2161부대,충청북도 음성군 음성읍 용산리,043-871-0113,
군부대,충청북도 음성군 음성읍 용산리,043-871-0113,
능산초등학교,충청북도 음성군 삼성면 능산리,043-878-5650,363
원당초등학교,충청북도 음성군 감곡면 원당리,043-878-8700,60
로엠교회,충청북도 음성군 생극면 임곡리,043-877-9810,20
차평2리문화생활관,충청북도 음성군 생극면 차평리,,20
생극중학교,충청북도 음성군 생극면 신양리,043-878-3481,200
오선초등학교,충청북도 음성군 금왕읍 오선리,043-877-0595,242
쌍봉초등학교,충청북도 음성군 금왕읍 쌍봉리,043-877-5126,303
충북반도체고등학교,충청북도 음성군 금왕읍 금석리,043-877-0366,1000
한국농어촌공사 거창함양지사,경상남도 거창군 거창읍 상림리,055-940-5500,
수동면사무소,경상남도 함양군 수동면 화산리,,93
수동보건지소,경상남도 함양군 수동면 화산리,055-960-5363,92
수동초등학교,경상남도 함양군 수동면 화산리,055-963-7834,3386
수동중학교,경상남도 함양군 수동면 화산리,055-963-5506,4771
효리마을회관,경상남도 함양군 수동면 우명리,,27
효리교회,경상남도 함양군 수동면 우명리,,73
구라노인회관,경상남도 함양군 수동면 우명리,,47
지곡보건지소,경상남도 함양군 지곡면 개평리,055-960-5364,150
진주시청,경상남도 진주시 상대동,055-749-5406,
금곡면사무소,경상남도 진주시 금곡면 두문리,055-749-2606,
금곡중학교,경상남도 진주시 금곡면,055-758-0553,500
금곡초등학교,경상남도 진주시 금곡면,055-758-7278,500
진성초등학교,경상남도 진주시 진성면 상촌리,055-754-3019,500
사봉 초등학교,경상남도 진주시 사봉면 사곡리,055-754-4007,500
이반성 초등학교,경상남도 진주시 이반성면 하곡리,055-754-7034,500
동강중앙교회(23년),전라남도 나주시 동강면 인동리,061-335-2074,100
동강초등학교(23년),전라남도 나주시 동강면 인동리,061-335-2052,300
나주동강중학교(23년),전라남도 나주시 동강면 인동리,061-335-2005,400
동강중앙교회(송암),전라남도 나주시 동강면 인동리,061-335-2074,100
나주동강중학교(송암),전라남도 나주시 동강면 인동리,061-335-2005,400
나주동강초등학교(송암),전라남도 나주시 동강면 인동리,061-335-2052,300
인월중고교,전라북도 남원시 인월면 서무리,063-636-5762,600
인월초교,전라북도 남원시 인월면 서무리,063-636-2004,300
남원시청,전라북도 남원시 도통동,063-634-4949,
옥천산업과학고등학교,충청북도 옥천군 옥천읍 문정리,043-733-2992,1000
옥천산업과학고등학교,충청북도 옥천군 옥천읍 문정리,043-733-2992,1000
옥천산업과학고등학교,충청북도 옥천군 옥천읍 문정리,043-733-2992,1000
옥천읍사무소,충청북도 옥천군 옥천읍,043-730-6611,400
옥천상업고등학교,충청북도 옥천군 옥천읍 문정리,043-733-2992,
화학1리 경로당,충청북도 옥천군 안남면 화학리,043-733-4078,
안내중학교,충청북도 옥천군 안내면,043-732-6044,708
가은초등학교,경상북도 문경시 가은읍 왕능리,054-571-6280,150
갈전1리마을회관,경상북도 문경시 가은읍 갈전리,054-571-7167,30
작천1리 여성노인회관,경상북도 문경시 가은읍 작천리,054-571-1181,30
성저1리마을회관,경상북도 문경시 가은읍 성저리,054-571-6142,30
성저2리마을회관,경상북도 문경시 가은읍 성저리,054-571-8551,30
농암초등학교,경상북도 문경시 농암면 농암리,054-571-2288,100
종곡2리마을회관,경상북도 문경시 농암면 종곡리,054-571-3239,30
화산1리마을회관,경상북도 문경시 농암면 화산리,054-571-5245,30
농암초등학교 청화분교장,경상북도 문경시 농암면 화산리,054-571-3171,180
화학1리 경로당,충청북도 옥천군 안남면 화학리,,30
안남초등학교,충청북도 옥천군 안남면 연주리,043-733-7585,200
가은초등학교,경상북도 문경시 가은읍 왕능리,054-571-6280,150
갈전1리마을회관,경상북도 문경시 가은읍 갈전리,054-571-7167,30
작천1리 여성노인회관,경상북도 문경시 가은읍 작천리,054-571-1181,30
성저1리마을회관,경상북도 문경시 가은읍 성저리,054-571-6142,30
성저2리마을회관,경상북도 문경시 가은읍 성저리,054-571-8551,30
농암초등학교,경상북도 문경시 농암면 농암리,054-571-2288,100
종곡2리마을회관,경상북도 문경시 농암면 종곡리,054-571-3239,30
화산1리마을회관,경상북도 문경시 농암면 화산리,054-571-5245,30
농암초등학교 청화분교장,경상북도 문경시 농암면 화산리,054-571-3171,180
강릉시청,강원특별자치도 강릉시 홍제동 ,033-640-4119,
강원지역본부,강원특별자치도 춘천시 우두동 ,033-244-7814,
강릉지사,강원특별자치도 강릉시 사천면 미노리,033-650-3277,
강동면 주민센터,강원특별자치도 강릉시 강동면 상시동리,033-660-3596,
송담서원,강원특별자치도 강릉시 강동면 언별리,033-640-4414,100
갯목마을경로당,강원특별자치도 강릉시 강동면 안인진리,,100
하시동2리노인정,강원특별자치도 강릉시 강동면 하시동리,,100
대동1리마을회관,강원특별자치도 강릉시 강동면 안인리,,100
경하목장,강원특별자치도 강릉시 강동면 언별리,,200
강릉양봉원,강원특별자치도 강릉시 노암동 ,033-651-6272,100
강동면 주민센터,강원특별자치도 강릉시 강동면 상시동리,033-660-3608,318
강동초등학교,강원특별자치도 강릉시 강동면 모전리,033-645-7268,537
강동면사무소,강원특별자치도 강릉시 강동면 상시동리,033-660-3608,318
금광초등학교,강원특별자치도 강릉시 구정면 금광리,033-647-9423,319
대동1리 마을회관,강원특별자치도 강릉시 강동면 안인리,033-644-4309,50
강동종합복지회관,강원특별자치도 강릉시 강동면 상시동리,033-645-8778,50
소수초등학교,충청북도 괴산군 소수면 수리,043-832-9971,300
칠성초등학교,충청북도 괴산군 칠성면 사평리,043-833-3495,
칠성면사무소,충청북도 괴산군 칠성면,043-830-2499,
이반성면사무소,경상남도 진주시 이반성면 용암리,055-749-3182,200
반성 중학교,경상남도 진주시 사봉면 무촌리,055-754-6053,500
진주 외국어 고등학교,경상남도 진주시 일반성면 개암리,055-761-7564,500
진성 초등학교,경상남도 진주시 진성면 상촌리,055-754-3019,500
추산교회,충청북도 괴산군 불정면 추산리,043-833-4144,100
오성중학교,충청북도 괴산군 감물면 오성리,043-833-3495,
재난안전대책본부,경상남도 창원시 의창구 사림동,055-211-2827,
쌍백초등학교,경상남도 합천군 쌍백면 평구리,055-932-3509,807
평지교회,경상남도 합천군 쌍백면 평지리,055-932-4059,108
쌍백초등학교,경상남도 합천군 쌍백면 평구리,055-931-1370,300
수지초교,전라북도 남원시 수지면 산정리,063-626-0998,180
수지중학교,전라북도 남원시 수지면 산정리,063-625-8840,220
노성중학교,충청남도 논산시 노성면 교촌리,041-736-5004,300
노성면사무소,충청남도 논산시 노성면 읍내리,041-746-8640,100
노성초등학교,충청남도 논산시 노성면 송당리,041-736-5010,250
노성중학교,충청남도 논산시 노성면 병사리,041-736-5004,871
노성초등학교,충청남도 논산시 노성면 병사리,041-736-5010,785
노성중학교,충청남도 논산시 노성면 병사리,041-736-5004,250
광석면사무소,충청남도 논산시 광석면,041-730-4604,
노성초등학교,충청남도 논산시 노성면 병사리,041-736-5010,250
가야곡면사무소,충청남도 논산시 가야곡면 육곡리,041-746-8823,50
가야곡초중학교,충청남도 논산시 가야곡면 강청리,041-741-1601,200
가야곡면사무소,충청남도 논산시 가야곡면 육곡리,041-746-8823,190
가야곡중학교,충청남도 논산시 가야곡면 강청리,041-742-7020,1676
가야곡초중학교,충청남도 논산시 가야곡면 강청리,041-741-1602,200
가야곡면사무소,충청남도 논산시 가야곡면 육곡리,041-736-8822,0
가야곡초중학교,충청남도 논산시 가야곡면 강청리,041-741-1601,0
단계초등학교,경상남도 산청군 신등면,055-972-3015,0
취암회관(신),전라북도 남원시 인월면 취암리,,50
아영중학교(신),전라북도 남원시 아영면 청계리,063-626-9771,785
취암마을회관,전라북도 남원시 인월면 취암리,063-636-2139,50
아영중학교,전라북도 남원시 아영면,063-626-9771,300
아영초등학교,전라북도 남원시 아영면,063-626-7464,300
율동마을회관,전라북도 남원시 아영면 의지리,,100
이동마을회관,전라북도 남원시 아영면 두락리,,100
오산마을회관,전라북도 남원시 아영면 월산리,,50
주천면행정복지센터,전라북도 남원시 주천면 장안리,063-625-8331,100
원천초등학교,전라북도 남원시 주천면 장안리,063-625-8305,500
내송마을회관,전라북도 남원시 주천면 은송리,063-625-8517,50
전라북도,전라북도 전주시 완산구 효자동3가,063-280-3640,
한국수자원공사 동화권지사,전라북도 장수군 번암면,063-620-2045,
생비량초등학교,경상남도 산청군 생비량면 도리,055-973-0287,500
생비량면사무소,경상남도 산청군 생비량면 도리,055-970-8451,80
신안면사무소,경상남도 산청군 신안면 하정리,055-970-8402,80
미천초등학교,경상남도 진주시 미천면 안간리,055-745-1066,200
남산마을회관,경상남도 진주시 일반성면 남산리,,20
진성대사보건소,경상남도 진주시 진성면 대사리,055-749-5737,20
진성대사보건소,경상남도 진주시 진성면 대사리,055-749-5737,
청산면사무소,충청북도 옥천군 청산면 지전리,043-730-4693,
청성초등학교,충청북도 옥천군 청성면 산계리,043-732-9022,500
경북도청,경상북도 안동시 풍천면 갈전리,054-880-3119,
경북도청,경상북도 안동시 풍천면 갈전리,054-880-2313,
경상북도,경상북도 안동시 풍천면 갈전리,054-880-2313,
명인정보고교,경상북도 성주군 선남면,054-932-1011,1128
용봉2리회관,경상북도 성주군 초전면 용봉리,,30
성주문화예술회관,경상북도 성주군 성주읍,054-933-6912,903
대동초등학교,경상북도 성주군 용암면 기산리,054-931-7923,311
선남초등학교,경상북도 성주군 선남면,054-931-8877,381
문덕리회관,경상북도 성주군 초전면 문덕리,054-932-8418,30
진성 초등학교,경상남도 진주시 진성면 상촌리,055-754-3019,500
방곡보건진료소,충청북도 괴산군 장연면 방곡리,043-832-7304,
장연면사무소,충청북도 괴산군 장연면,043-830-2461,
용우초등학교,경상남도 진주시 명석면 우수리,055-744-3038,1000
금곡초등학교,경상남도 진주시 금곡면,055-758-7278,500
금곡중학교,경상남도 진주시 금곡면,055-758-0553,500
상도마을회관(신),전라북도 남원시 주생면 도산리,063-631-8079,30
낙동마을회관(신),전라북도 남원시 주생면 낙동리,063-631-8638,28
주생초등학교(신),전라북도 남원시 주생면 지당리,063-631-8932,386
두곡마을회관(신),전라북도 남원시 송동면 두신리,063-626-7890,25
금지초등학교(신),전라북도 남원시 금지면 택내리,063-631-7036,562
방촌마을회관(신),전라북도 남원시 금지면 방촌리,063-631-7835,28
서재마을회관(신),전라북도 남원시 금지면 입암리,063-635-1205,24
낙동마을회관,전라북도 남원시 주생면 낙동리,,30
두곡마을회관,전라북도 남원시 송동면 두신리,,30
금지초등학교,전라북도 남원시 금지면 택내리,063-631-7079,210
상도마을회관,전라북도 남원시 주생면 도산리,,30
고룡마을회관,전라북도 남원시 금지면 옹정리,063-635-1750,30
하도마을회관,전라북도 남원시 금지면 하도리,063-631-7737,30
용전마을회관,전라북도 남원시 금지면 하도리,063-631-7489,30
귀석마을회관,전라북도 남원시 금지면 귀석리,063-631-7187,30
상귀마을회관,전라북도 남원시 금지면 상귀리,063-631-7884,30
황구마을회관,전라북도 남원시 금지면 신월리,063-631-7553,30
금평마을회관,전라북도 남원시 금지면 신월리,,30
장승마을회관,전라북도 남원시 금지면 신월리,063-631-7616,30
임촌마을회관,전라북도 남원시 금지면 상신리,,30
상신마을회관,전라북도 남원시 금지면 상신리,,30
내기마을회관,전라북도 남원시 금지면 택내리,,30
택촌마을회관,전라북도 남원시 금지면 택내리,063-631-7320,30
방촌마을회관 ,전라북도 남원시 금지면 방촌리,063-631-7063,30
매촌마을회관 ,전라북도 남원시 금지면 서매리,,30
서재마을회관 ,전라북도 남원시 금지면 서매리,063-635-4622,30
낙동경로당,전라북도 남원시 주생면 낙동리,,30
왕치초등학교,전라북도 남원시 향교동,063-633-4295,150
수지중학교,전라북도 남원시 수지면 산정리,063-625-8841,224
성원고등학교,전라북도 남원시 왕정동,063-633-8581,160
남원제일고등학교,전라북도 남원시 노암동,063-630-9002,180
주생초등학교,전라북도 남원시 주생면 지당리,063-631-8909,230
금지초교,전라북도 남원시 금지면 택내리,063-631-7079,300
금지중학교,전라북도 남원시 금지면 옹정리,063-635-1034,200
금지동초교,전라북도 남원시 금지면 옹정리,063-635-2035,100
송동중학교,전라북도 남원시 송동면 신평리,063-634-6160,120
증평중학교,충청북도 증평군 증평읍 증천리,043-836-2045,200
증평공업고등학교,충청북도 증평군 증평읍 증천리,043-838-0338,150
불정사,충청북도 증평군 증평읍 증평리,043-836-1389,30
삼보사,충청북도 증평군 증평읍 죽리,043-838-7100,30
흑표교회,충청북도 증평군 증평읍 덕상리,043-836-5399,30
기원사,충청북도 증평군 증평읍 남차리,043-838-6091,30
갈멜산기도원,충청북도 증평군 증평읍 남차리,043-838-5153,30
세지초등학교(용궁),전라남도 나주시 세지면 오봉리,061-331-2951,500
세지중학교(용궁),전라남도 나주시 세지면 오봉리,061-331-5005,600
세지중앙교회(23년),전라남도 나주시 세지면 벽산리,061-331-5152,150
세지중앙교회,전라남도 나주시 세지면 벽산리,061-331-5152,150
세지중학교(용궁),전라남도 나주시 세지면 오봉리,061-331-5506,600
세지초등학교(용궁),전라남도 나주시 세지면 오봉리,061-331-2958,500
진천군청,충청북도 진천군 진천읍 읍내리,043-539-3682,
청주시청,충청북도 청주시 상당구 북문로3가,043-200-2119,
문백면행정복지센터,충청북도 진천군 문백면 옥성리,043-539-8553,
세종시청,세종특별자치시 연기면 누리리,044-211-4311,
진천군청,충청북도 진천군 진천읍 읍내리,043-539-3740,
충북도청,충청북도 청주시 상당구 문화동,043-220-4314,
대동초등학교,충청남도 연기군 조치원읍 신흥리,041-861-4603,940
명동초등학교,충청남도 연기군 조치원읍 명리,041-865-2245,360
강외초등학교,충청북도 청원군 강외면 오송리,041-862-6386,360
강내초등학교,충청북도 청원군 강내면 다락리,043-231-1329,160
교원대학교부속고등학교,충청북도 청원군 강내면 다락리,043-230-3971,240
월곡초등학교,충청북도 청원군 강내면 월곡리,043-232-2600,420
만수초등학교,충청북도 청원군 강외면 만수리,043-238-2702,120
옥산중학교,충청북도 청원군 옥산면 오산리,043-260-2703,240
서촌초등학교,충청북도 청주시 흥덕구 서촌동,043-231-0374,120
내곡초등학교,충청북도 청주시 흥덕구 내곡동,043-264-6659,120
북일초등학교,충청북도 청주시 상당구 주중동,043-212-5761,120
외평제일교회,충청북도 청주시 상당구 외남동,043-212-8965,50
전원어린이집,충청북도 청주시 상당구 외남동,043-211-1487,50
옥산초등학교,충청북도 청원군 옥산면 오산리,043-260-2703,620
소로초등학교,충청북도 청원군 옥산면 소로리,043-211-1487,100
중신교회,충청북도 청원군 오창읍 중신리,043-217-3013,50
오창중학교,충청북도 청원군 오창읍 창리,043-217-2616,280
오창초등학교,충청북도 청원군 오창읍 장대리,043-217-3991,460
북이소망교회,충청북도 진천군 초평면 진암리,043-838-8731,50
구정초등학교,충청북도 진천군 초평면 용산리,043-838-2739,120
진암교회,충청북도 진천군 초평면 진암리,043-838-3233,50
(주)동양유지,충청북도 진천군 초평면 진암리,043-838-8731,50
(주)모젤벽지,충청북도 진천군 초평면 은암리,043-838-8537,50
오창초교 유리분교,충청북도 청원군 오창읍 유리,043-217-3991,60
중리회관,충청북도 청원군 오창읍 여천리,043-217-4435,50
동인목장,충청북도 진천군 문백면 은탄리,043-532-7514,50
구곡교회,충청북도 진천군 문백면 구곡리,043-534-2098,50
문상초등학교,충청북도 진천군 문백면 사양리,043-532-1163,120
진성기계,충청북도 진천군 진천읍 산척리,043-534-1910,50
진천여자중학교,충청북도 진천군 진천읍 성석리,043-533-3401,380
진천중학교,충청북도 진천군 진천읍 성석리,043-533-2320,460
진천고등학교,충청북도 진천군 진천읍 신정리,043-533-2801,360
진천천주교회,충청북도 진천군 진천읍 교성리,043-532-1346,50
진천농업고등학교,충청북도 진천군 진천읍 교성리,043-532-1346,320
진천상산초등학교,충청북도 진천군 진천읍 읍내리,043-534-7031,920
진천군민회관,충청북도 진천군 진천읍 읍내리,043-539-3843,100
원장관 노인정,충청북도 진천군 진천읍 장관리,043-533-6972,50
사람의 마을교회,충청북도 진천군 진천읍 행정리,043-534-1344,50
호원장,충청북도 진천군 진천읍 건송리,043-533-3605,50
연남초등학교,충청남도 연기군 남면 연기리,044-863-4504,210
연동중학교,충청남도 연기군 동면 내판리,044-864-7022,90
연동초등학교,전라북도 고창군 신림면 송용리,044-864-9300,180
연봉초등학교,충청남도 연기군 서면 봉암리,044-867-6004,390
세종도원초등학교,충청남도 연기군 서면 월하리,044-868-7213,360
대동초등학교,충청남도 연기군 전의면 신흥리,044-861-4601,1290
조치원여자고등학교,충청남도 연기군 조치원읍 서창리,044-865-4200,720
신봉초등학교,충청남도 연기군 조치원읍 침산리,044-862-3930,450
조치원여자중학교,충청남도 연기군 조치원읍 교리,044-864-2072,780
조치원중학교,충청남도 연기군 조치원읍 서창리,044-863-0773,780
세종고등학교,충청남도 연기군 조치원읍 서창리,044-865-1003,720
강내초등학교,충청북도 청원군 강내면 다락리,043-231-1251,180
한국교원대 부설고등학교,충청북도 청원군 강내면 다락리,043-230-3965,360
석화리마을회관,충청북도 청원군 강내면 석화리,043-232-2616,30
사인1리 마을회관,충청북도 청원군 강내면 사인리,043-231-2935,30
서촌초등학교,충청북도 청주시 흥덕구 서촌동,043-231-0374,210
옥산중학교,충청북도 청원군 옥산면 오산리,043-260-0142,300
옥산초교 소로분교,충청북도 청원군 옥산면 소로리,043-218-0609,180
내곡초등학교,서울특별시 서초구 내곡동,043-264-2124,210
원평2동마을회관,충청북도 청주시 흥덕구 원평동,043-272-3285,30
송절중학교,충청북도 청주시 흥덕구 송절동,043-267-9274,690
새터초등학교,충청북도 청주시 상당구 사천동,043-212-0091,870
사천초등학교,충청북도 청주시 상당구 사천동,043-212-1642,900
율량중학교,충청북도 청주시 상당구 율량동,043-212-0547,810
북일초등학교,충청북도 청주시 상당구 주중동,043-212-5761,210
각리초등학교,충청북도 청원군 오창읍 각리,043-217-4591,1960
각리중학교,충청북도 청원군 오창읍 각리,043-218-0567,1050
청원고등학교,충청북도 청원군 오창읍 구룡리,043-715-6500,720
비봉초등학교,충청북도 청원군 오창읍 구룡리,043-217-9462,1170
양청중학교,충청북도 청원군 오창읍 양청리,043-241-0062,360
양청고등학교,충청북도 청원군 오창읍 양청리,043-717-8800,690
수성초등학교,충청북도 청원군 내수읍 내수리,043-214-1633,840
오창초등학교,충청북도 청원군 오창읍 장대리,043-217-3991,360
석성초등학교,충청북도 청원군 북이면 내둔리,043-214-0329,180
구정초등학교,충청북도 진천군 초평면 용산리,043-838-2739,210
청주새날학교,충청북도 청주시 흥덕구 운천동,043-263-0041,100
양화마을회관,충청북도 진천군 초평면 연담리,043-838-3065,30
통산마을회관,충청북도 진천군 문백면 평산리,043-534-3715,30
문상초등학교,충청북도 진천군 문백면 사양리,043-534-2394,210
삼수초등학교 매산분교,충청북도 진천군 덕산면 산수리,043-536-4010,180
진천여자중학교,충청북도 진천군 진천읍 성석리,043-533-3401,630
진천중학교,충청북도 진천군 진천읍 성석리,043-533-2321,720
진천고등학교,충청북도 진천군 진천읍 신정리,043-530-3600,630
한국바이오마이스터고등학교,충청북도 진천군 진천읍 교성리,043-532-1350,450
진천상업고등학교,충청북도 진천군 진천읍 신정리,043-533-3502,360
내동마을회관,충청북도 진천군 진천읍 행정리,043-533-5454,30
이월중학교,충청북도 진천군 이월면 송림리,043-536-7780,
상봉마을회관,충청북도 진천군 백곡면 석현리,,21
용진마을회관,충청북도 진천군 백곡면 용덕리,,36
백곡면사무소,충청북도 진천군 백곡면 성대리,043-539-8612,90
성터마을회관,충청북도 진천군 백곡면 성대리,,100
상봉마을회관,충청북도 진천군 백곡면 성대리,,120
용진마을회관,충청북도 진천군 백곡면 용덕리,,80
백곡초등학교,충청북도 진천군 백곡면 구수리,043-532-5590,150
백곡면사무소,충청북도 진천군 백곡면 석현리,043-539-8612,150
금산초등학교,경상남도 진주시 금산면 장사리,055-761-3108,4309
금산면사무소,경상남도 진주시 금산면 장사리,055-749-3791,101
진주동중학교,경상남도 진주시 금산면 장사리,055-761-2011,1924
금산면사무소,경상남도 진주시 금산면 장사리,055-749-3791,100
용우초등학교,경상남도 진주시 명석면,055-744-3038,1000
미천면사무소,경상남도 진주시 미천면 어옥리,055-749-3851,200
미천초등학교,경상남도 진주시 미천면,055-754-7034,0
대곡면사무소,경상남도 진주시 대곡면 용암리,055-749-3761,200
고구려대학교(23년),전라남도 나주시 다시면 복암리,061-330-7400,
금송교회,전라남도 함평군 학교면 금송리,061-322-6490,50
장수노인정,전라남도 나주시 공산면 백사리,061-335-8421,50
나주관찰체험학습장,전라남도 나주시 다시면 문동리,061-335-8982,200
나주대학교 생활관,전라남도 나주시 다시면,061-331-8573,1000
다시국제기독교수양관,전라남도 나주시 다시면 운봉리,061-335-3198,200
가흥1구회관,전라남도 나주시 다시면 가흥리,061-335-9053,30
랑동복지회관,전라남도 나주시 다시면 복암리,061-335-9264,30
고구려대학,전라남도 나주시 다시면 복암리,061-330-7400,2000
월성마을회관,전라남도 나주시 다시면 동곡리,061-335-4338,30
문평중학교,전라남도 나주시 문평면 옥당리,061-336-5381,100
